,title,price,currency,badge,badge among,image
0,فرشاة شعر القطط من نيكوبي، فرشاة بخار للقطط، فرشاة بخار تنظيف ذاتي للتدليك، تزيل الشعر الطائر المتناثر، فرشاة إزالة الشعر لإزالة الشعر المتشابك والمتناثر، مشط إزالة الشعر للقطط والكلاب (أبيض) ,106.0,جنيه,الأكثر مبيعاً,في Cat Brushes,https://m.media-amazon.com/images/I/61dopS6y4BL._AC_UL320_.jpg
1,لوح خدش للقطط والحيوانات الأليفة من الورق المقوى من سكاي-تاتش، وسادة خدش للقطط، لعبة خدش تفاعلية مقاس 43 × 21.5 × 3 سم ,149.0,جنيه,الأكثر مبيعاً,في Cat Scratching Pads,https://m.media-amazon.com/images/I/71QUDPK1T5L._AC_UL320_.jpg
2,كرة النعناع البري للقطط ,55.0,جنيه,,,https://m.media-amazon.com/images/I/71nvi7eW+WL._AC_UL320_.jpg
3,طعام رطب للقطط فريسكيز بقطع اللحم البقري في المرق من بورينا، 85 جرام ,39.6,جنيه,الأكثر مبيعاً,في Pet Supplies,https://m.media-amazon.com/images/I/71yGsWtgcSL._AC_UL320_.jpg
4,رمل فضلات القطط سريع التكتل ومضاد للبكتيريا والغبار من كات نايت سعة 5 لتر لون أرجواني فاتح ,85.0,جنيه,,,https://m.media-amazon.com/images/I/61aXGXPLbKL._AC_UL320_.jpg
5,طعام مجفف من رويال كات بطعم الدجاج الحقيقي للقطط ، بالغ 3 كيلوجرام حبيبات مضغوطة ,225.0,جنيه,,,https://m.media-amazon.com/images/I/51k2cAai9rL._AC_UL320_.jpg
6,طعام رطب للقطط بنكهة الدجاج من باوير، 400 جرام، 22% بروتين ,50.0,جنيه,,,https://m.media-amazon.com/images/I/51FjSENTMHL._AC_UL320_.jpg
7,رمل متكتل لفضلات القطط من دودزي، 5 لتر (بنفسجي فاتح) ,139.0,جنيه,الأكثر مبيعاً,في Cat Litter,https://m.media-amazon.com/images/I/61SwmCXd7zL._AC_UL320_.jpg
8,قصافة أظافر الحيوانات الأليفة الصغيرة - مقص احترافي للكلاب والقطط والطيور والزواحف - آمنة وحادة وسهلة الاستخدام - قبضة مريحة وشفرات من الفولاذ المقاوم للصدأ من تيكزون (متعددة الألوان) ,79.0,جنيه,,,https://m.media-amazon.com/images/I/31IqA8kaCQL._AC_UL320_.jpg
9,سجادة خدش للقطط - لوح خدش للقطط - وسادة مريحة للحيوانات الاليفة (لون عشوائي) ,169.0,جنيه,,,https://m.media-amazon.com/images/I/71RxT3EWO-L._AC_UL320_.jpg
10,وعاء مزدوج للقطط مزود بشرب أوتوماتيكي، وعاء تغذية من الفولاذ المقاوم للصدأ، وعاء تغذية للحيوانات الأليفة، وعاء للقطط والكلاب، مقاس S ,230.0,جنيه,,,https://m.media-amazon.com/images/I/71bpoTO3zAS._AC_UL320_.jpg
11,SKEIDO سرير كلب للقطط دافئ دافئ بيت الكلب الناعم من الصوف عش الكلب سلال البيت حصيرة الخريف الشتاء للماء بيت الكلب (وردي) ,199.0,جنيه,,,https://m.media-amazon.com/images/I/617KmBkCV2L._AC_UL320_.jpg
12,اوعية طعام وشراب مزدوجة للقطط والكلاب والحيوانات الاليفة مصنوعة من ستانلس ستيل ممتاز (بينك) ,192.0,جنيه,,,https://m.media-amazon.com/images/I/61HTsmfFikL._AC_UL320_.jpg
13,صندوق فضلات القطط + مغرفة فضلات القطط بحجم كبير، صندوق فضلات عالي الجودة سهل الحمل والتنظيف بألوان متعددة - للعناية بالقطط - منظف للقطط (لون ابيض) ,225.0,جنيه,,,https://m.media-amazon.com/images/I/61R6EclfbML._AC_UL320_.jpg
14,نافورة مياه للقطط والحيوانات الأليفة بمضخة صامتة – فلتر دوران تلقائي لتنقية المياه – تعمل عبر USB – مناسبة للقطط والكلاب الصغيرة والطيور (شفاف) ,599.0,جنيه,,,https://m.media-amazon.com/images/I/71gpxfx75jL._AC_UL320_.jpg
15,طعام رطب بنكهة السالمون للقطط من باوير، 400 جرام - 22% بروتين ,50.0,جنيه,,,https://m.media-amazon.com/images/I/61Xw60ahl+L._AC_UL320_.jpg
16,قفاز حلاقة مزدوج الجوانب للحيوانات الاليفة من جوتي، قفازات ازالة شعر الحيوانات الاليفة للكلاب والقطط، قفاز ازالة شعر الحيوانات الاليفة قابل لاعادة الاستخدام للغسيل والتخلص من تساقط الشعر والعناية ,180.0,جنيه,,,https://m.media-amazon.com/images/I/61DP9Marq0L._AC_UL320_.jpg
17,فرشاة للقطط، فرشاة للتنظيف الذاتي للعناية وتزيين الحيوانات الاليفة، تزيل الشعر المتساقط من الفروة والسجاجيد ومشط تصفيف الشعر المتشابك للقطط والكلاب وفرشاة التدليك ,98.0,جنيه,,,https://m.media-amazon.com/images/I/61YvC7Vr+rL._AC_UL320_.jpg
18,التفاعلية LED التدريب مضحك القط اللعب لعبة مؤشر الليزر القلم الماوس الرسوم المتحركة متعددة الوظائف المزيفة كاشف المال أقلام ,65.0,جنيه,الأكثر مبيعاً,في Interactive Toys for Cats,https://m.media-amazon.com/images/I/61E118-vHmL._AC_UL320_.jpg
19,فرشاة بخارية 3 في 1 مزودة بخزان مياه للقطط والكلاب من سوفانج، فرشاة بخارية للتدليك للشعر الطويل/ القصير، للعناية وإزالة شعر الحيوانات الأليفة ,104.0,جنيه,,,https://m.media-amazon.com/images/I/71ZyIlg96yL._AC_UL320_.jpg
20,مجموعة قص الأظافر للكلاب والقطط من كاتشي بيت سابلايز، مجموعة قص أظافر الكلاب مع مبرد أظافر، مجموعة قص أظافر القطط والكلاب مع واقي أمان (قطط وكلاب صغيرة وردي) ,109.0,جنيه,,,https://m.media-amazon.com/images/I/41jaWw-DROL._AC_UL320_.jpg
21,طعام جاف فاخر للقطط من دودزي، 1 كجم، كل مراحل الحياة، دجاج، 1.0 كيلوجرام ,118.0,جنيه,,,https://m.media-amazon.com/images/I/71pxKbYm--L._AC_UL320_.jpg
22,حوض رمل للقطط والكلاب متعدد الألوان، بجوانب قابلة للإزالة لتنظيف سهل، مقاس 18 × 14 بوصة للاستخدام الداخلي والخارجي ,190.0,جنيه,,,https://m.media-amazon.com/images/I/51RZuRbH5VL._AC_UL320_.jpg
23,طعام رطب للقطط فريسكيز بقطع البط في المرق من بورينا، 85 جرام، بالغ ,45.0,جنيه,الأكثر مبيعاً,في Pet Supplies,https://m.media-amazon.com/images/I/71r3IzWNAmL._AC_UL320_.jpg
24,لعبة ممتعة للحيوانات الاليفة، عصا لعبة للقطة بسلك من الستيل وجرس ريش يمكن لفه حول الاصبع ,120.0,جنيه,,,https://m.media-amazon.com/images/I/51B4nImTInL._AC_UL320_.jpg
25,"تشيرت شتوي للقطط والكلاب المنزلية – مبطن من الداخل – دافئ ومريح للاستخدام اليومي والنزهات والخروج (بيح, S) ",255.0,جنيه,الأكثر مبيعاً,في Cat Apparel,https://m.media-amazon.com/images/I/51I9kPQqR-L._AC_UL320_.jpg
26,رمل قطط من كاندي برائحة (اللافندر) للقضاء علي الفضلات والروائح الكاريهة سريع التكتل 5 لتر ,82.0,جنيه,,,https://m.media-amazon.com/images/I/51obH6s2fVL._AC_UL320_.jpg
27,تيكزون نافورة مياه للحيوانات الاليفة سعة 2.5 لتر للقطط والكلاب - موزع شفاف اوتوماتيكي مع تدفق صنبور و6 فلاتر ومضخة فائقة الهدوء وخالية من BPA - للحيوانات الاليفة الصغيرة والمتوسطة - الوان متنوعة ,399.0,جنيه,الأكثر مبيعاً,في Cat Fountains,https://m.media-amazon.com/images/I/517BgtaeLtL._AC_UL320_.jpg
28,طعام القطط از جود از ات لوكس مع اللحم البقري في الجيلي من بيورينا، 85 جم من فيليكس ,50.0,جنيه,,,https://m.media-amazon.com/images/I/71Lw-I0zexL._AC_UL320_.jpg
29,طعام مجفف فاخر للقطط من دودزي، 1 كجم ,124.0,جنيه,,,https://m.media-amazon.com/images/I/61vCgJAysvL._AC_UL320_.jpg
30,طعام مجفف بالدجاج في المرق للقطط فريسكيز من بيورينا - 85 جم ,49.0,جنيه,,,https://m.media-amazon.com/images/I/81hm-rI4TtL._AC_UL320_.jpg
31,فرشاة إزالة شعر القطط والكلاب، بكرة سحرية قابلة لإعادة الاستخدام لإزالة شعر الحيوانات الأليفة (للملابس والكنبة والسيارة والسرير) من ايس 2 ايس ,199.0,جنيه,,,https://m.media-amazon.com/images/I/71hmdqmQb3L._AC_UL320_.jpg
32,فرشاة العناية بالقطط من اي تي بلس، فرش سليكر ذاتية التنظيف للكلاب والقطط، فرشاة العناية بالحيوانات الاليفة للتدليك الذاتي للحيوانات الاليفة، الوان متنوعة ,126.0,جنيه,,,https://m.media-amazon.com/images/I/71Rjfu8fFUL._AC_UL320_.jpg
33,برج شجرة للقطط في الاماكن المغلقة، اطار تسلق متعدد المستويات مع اعمدة خدش، مجثم قطيفة، لعبة متدلية وحبل سيزال، مركز نشاط اثاث القطط - بيت الحيوانات الاليفة والعناية بها، ارتفاع 78 سم، بني ,590.0,جنيه,,,https://m.media-amazon.com/images/I/51ssu7itSDL._AC_UL320_.jpg
34,لعبة القط التفاعلية - العصا الذكية الذاتي للتشويش مع الريش وقاعدة كوب الشفط وعصا متينة - مثالية للتمرين والترفيه للقطط والقطط البالغة ,230.0,جنيه,,,https://m.media-amazon.com/images/I/51uPSwB3x1L._AC_UL320_.jpg
35,وعاء طعام أوتوماتيكي للقطط والكلاب مع نافورة مياه – وعاء مزدوج للشرب والطعام – حامل أوعية للحيوانات الأليفة (اخضر) ,250.0,جنيه,,,https://m.media-amazon.com/images/I/41VZLpVQ-IL._AC_UL320_.jpg
36,لعبة كرة كهربائية للقطط، لعبة اوتوماتيكية تفاعلية للكلاب والقطط، لعبة نشاط ذاتي مع ذيل بديل من جيربالا (برتقالي) ,250.0,جنيه,,,https://m.media-amazon.com/images/I/61W8vHMSvZL._AC_UL320_.jpg
37,بدلة التعافي من جراحة القطط جيدة التهوية، قطعة واحدة للقطط بعد الجراحة، بدلة للتعافي من جروح البطن ,249.99,جنيه,,,https://m.media-amazon.com/images/I/51zPl21aLRL._AC_UL320_.jpg
38,كرة للقطط بالنعناع البري على شكل افوكادو لعق كات نب صالحة للأكل لعبة حلويات ألعاب مضغ من كاتشر كير باي ناتشر ,107.0,جنيه,,,https://m.media-amazon.com/images/I/618DlPlgLuL._AC_UL320_.jpg
39,سفن داى مكافآت للقطط بسبع اطعمة والعناية بالاسنان، من اورجو، كل مراحل الحياة، متعدد النكهات ,114.0,جنيه,,,https://m.media-amazon.com/images/I/71JVIKftraL._AC_UL320_.jpg
40,"رمل فضلات القطط من ماي دير غامق سريع التكنل بنسبة 100%، 5 لتر برائحة (5 لتر, لافندر) ",82.0,جنيه,,,https://m.media-amazon.com/images/I/61ijCfg9YxL._AC_UL320_.jpg
41,جهاز تغذية أوتوماتيكي للحيوانات الأليفة من نوا ستور | موزع طعام للقطط والكلاب - جهاز تغذية بالجاذبية - جهاز تغذية أوتوماتيكي للقطط والكلاب - لوازم تغذية الكلاب والقطط، موزع طعام للكلاب ,288.0,جنيه,,,https://m.media-amazon.com/images/I/61GIT9KGf8L._AC_UL320_.jpg
42,لعبة كرات نطاطة تفاعلية للقطط في الأماكن المغلقة، هدية للحيوانات الأليفة، كرة ملونة بمرونة عالية للتمرين واللعب التفاعلي، 5 كرات ,87.69,جنيه,,,https://m.media-amazon.com/images/I/81BqkKiUcbL._AC_UL320_.jpg
43,طعام رطب للقطط فريسكيز بقطع السلمون في المرق من بورينا، 85 جم ,65.0,جنيه,,,https://m.media-amazon.com/images/I/61JHCPFxkHL._AC_UL320_.jpg
44,طعام القطط الرطب فيليكس بقوام هلامي من بيورينا، 85 جم ,50.0,جنيه,الأكثر مبيعاً,في Canned Cat Food,https://m.media-amazon.com/images/I/71OczAQKibL._AC_UL320_.jpg
45,طعام جاف للقطط الكبيرة الفا، بطعم الفراخ (1 كيلوجرام)، كل مراحل الحياة، الدجاج ,161.0,جنيه,الأكثر مبيعاً,في Dry Cat Food,https://m.media-amazon.com/images/I/61Dk1q4RWCL._AC_UL320_.jpg
46,Royal Cat Premium 3kg ,230.0,جنيه,,,https://m.media-amazon.com/images/I/61q6zA3U4GL._AC_UL320_.jpg
47,كيس طعام للقطط مع تونة 85 جرام من فيليكس، أزرق، بالغ ,50.0,جنيه,,,https://m.media-amazon.com/images/I/716vZjAfMjL._AC_UL320_.jpg
